Instances,SloppyGiuseppe,SauceTopping,Food,CheeseyVegetableTopping,Country,NonVegetarianPizza,OnionTopping,PizzaBase,PetitPoisTopping,AnchoviesTopping,RedOnionTopping,ThinAndCrispyPizza,GorgonzolaTopping,American,Caprina,Fiorentina,Spiciness,FishTopping,HotSpicedBeefTopping,MushroomTopping,ValuePartition,VegetarianPizza,PrinceCarlo,VegetarianTopping,HotGreenPepperTopping,HerbSpiceTopping,RealItalianPizza,Mushroom,SpinachTopping,FourSeasons,CaperTopping,GoatsCheeseTopping,SlicedTomatoTopping,PepperTopping,VegetableTopping,LeekTopping,AsparagusTopping,FourCheesesTopping,CajunSpiceTopping,DomainConcept,ParmesanTopping,ThinAndCrispyBase,Pizza,Capricciosa,Hot,Siciliana,IceCream,LaReine,RocketTopping,MeatTopping,Cajun,Giardiniera,VegetarianPizzaEquivalent2,SultanaTopping,AmericanHot,GreenPepperTopping,InterestingPizza,Napoletana,PeperoniSausageTopping,PrawnsTopping,PizzaTopping,Parmense,GarlicTopping,DeepPanBase,ParmaHamTopping,JalapenoPepperTopping,HamTopping,PeperonataTopping,Soho,TomatoTopping,Veneziana,PolloAdAstra,QuattroFormaggi,UnclosedPizza,MozzarellaTopping,OliveTopping,CheeseTopping,CheeseyPizza,Medium,ChickenTopping,SweetPepperTopping,ArtichokeTopping,SundriedTomatoTopping,SpicyTopping,VegetarianPizzaEquivalent1,NamedPizza,Mild,MixedSeafoodTopping,Rosa,NutTopping,SpicyPizzaEquivalent,PineKernels,TobascoPepperSauce,RosemaryTopping,Margherita,FruitTopping,MeatyPizza,SpicyPizza,FruttiDiMare
FruitTopping_1,0.374335945,0.601883829,0.997524679,0.995150685,0.997839808,0.940986514,0.56206888,0.822387457,0.524216056,0.872421443,0.997429907,0.996559441,0.76246804,0.409676969,0.411987752,0.264075011,0.997247398,0.688249528,0.774619818,0.441655934,0.89501369,0.812358439,0.506602466,0.997118354,0.995072067,0.706472278,0.995926738,0.376940995,0.451829851,0.387854397,0.500032067,0.724211991,0.9575845,0.674600363,0.983394504,0.519339085,0.538180828,0.770287991,0.884834588,0.948482513,0.660447538,0.91316545,0.936572254,0.343860954,0.907227874,0.306328684,0.645887434,0.365989774,0.443587184,0.813737214,0.374256194,0.340940177,0.996071219,0.995082617,0.321037501,0.817313492,0.997999489,0.398387641,0.803228378,0.743036151,0.976440847,0.403896391,0.587248087,0.976313651,0.995863557,0.738986313,0.900579035,0.887306333,0.365906298,0.928447247,0.34341374,0.304210037,0.411310315,0.340159655,0.993103564,0.547814846,0.772927463,0.994963408,0.881866813,0.770606339,0.736063004,0.583084822,0.84559375,0.995274007,0.996464252,0.996944845,0.986656725,0.887437999,0.36099562,0.658859968,0.995758235,0.9916659,0.995315313,0.909842551,0.386817783,0.743743002,0.997057915,0.996253848,0.333507359
SauceTopping_1,0.38231197,0.719755828,0.997655153,0.995427728,0.997953773,0.94357127,0.549170792,0.802083611,0.56607157,0.880760729,0.997565389,0.996756375,0.773928702,0.440269679,0.337899506,0.281503618,0.997397304,0.668190002,0.779206812,0.523395061,0.879393935,0.812091351,0.437603742,0.997243047,0.995386422,0.721188188,0.996183932,0.314372361,0.47285369,0.366263568,0.538312733,0.72624892,0.962348521,0.586012125,0.9847579,0.54778415,0.449470311,0.759017587,0.891146004,0.949622393,0.74446857,0.909986019,0.939582884,0.384310275,0.91512382,0.338534534,0.672928274,0.347475082,0.532321274,0.842099845,0.419706136,0.34221378,0.996277988,0.995341182,0.324479342,0.826662302,0.998114109,0.40166682,0.798525274,0.749888957,0.976755321,0.444441438,0.592919827,0.978779614,0.996100068,0.723415911,0.895815134,0.881789744,0.422534347,0.931861222,0.351177275,0.266481996,0.353802115,0.428513855,0.993728518,0.556769669,0.776564181,0.995230615,0.854558766,0.78388536,0.77421248,0.491633922,0.841226578,0.995541036,0.996683538,0.997131348,0.987352848,0.884902477,0.350026578,0.650797427,0.995981455,0.992298663,0.99549073,0.906854272,0.434945077,0.615554512,0.997218847,0.996451139,0.334881008
InterestingPizza_1,0.314619213,0.624826491,0.997802317,0.995670676,0.99808228,0.943068445,0.553206861,0.804189861,0.558767259,0.891207576,0.997718215,0.996925414,0.776741683,0.391236842,0.344538093,0.26259619,0.99755609,0.671262443,0.747243822,0.44560194,0.89059037,0.802002668,0.421800256,0.997441173,0.995623767,0.696482718,0.996371508,0.310196757,0.42984724,0.33351475,0.471046805,0.70397377,0.963447452,0.585831642,0.98547852,0.505249381,0.461149037,0.731550634,0.89678973,0.954227269,0.724075317,0.911630332,0.939424396,0.341015041,0.906829774,0.275006801,0.644196093,0.318505526,0.449702382,0.851934254,0.390925169,0.342611104,0.9965114,0.995632946,0.317042112,0.807842016,0.998214602,0.376825571,0.775287807,0.754419029,0.979143798,0.43798548,0.534743965,0.979239345,0.996308625,0.725940108,0.903977871,0.893685162,0.420972854,0.93349725,0.327758253,0.275188327,0.363469094,0.382571399,0.993854165,0.58473599,0.769131005,0.995527089,0.862252176,0.787834764,0.747674346,0.496456861,0.834124565,0.995780826,0.996841908,0.997287035,0.988118112,0.886270702,0.336758107,0.656906605,0.996233284,0.992619097,0.995839834,0.917626381,0.435391337,0.608313799,0.997387111,0.996673584,0.303437799
LaReine_1,0.329745233,0.649679899,0.997668684,0.995497108,0.997968137,0.942675054,0.591918051,0.800926745,0.552863002,0.882157922,0.997582436,0.996751904,0.773613691,0.4285326,0.331415921,0.303319126,0.997410834,0.678769529,0.792354345,0.447176069,0.902864039,0.813405931,0.523496687,0.997284293,0.99536407,0.707000732,0.996164441,0.28914243,0.463396728,0.364777863,0.463294059,0.675688744,0.961467326,0.610410333,0.984927416,0.506848812,0.505189896,0.76072228,0.890153766,0.950514317,0.715191126,0.909546793,0.937863886,0.379997641,0.913590789,0.338341355,0.720136046,0.486840367,0.457407176,0.82116431,0.409629196,0.340852231,0.996304154,0.995373905,0.30422622,0.796078503,0.998116493,0.447471857,0.754086554,0.754434705,0.977801025,0.481787026,0.593656778,0.979430735,0.996104956,0.754877508,0.900088906,0.874400914,0.453024536,0.930177748,0.321294576,0.280463845,0.375951707,0.40001893,0.993715823,0.594040811,0.785960793,0.995261669,0.876776278,0.771241724,0.765151024,0.519835055,0.847743988,0.995549679,0.996654749,0.997171104,0.987440228,0.883620024,0.352271736,0.627548635,0.996009707,0.991956711,0.995592892,0.910376012,0.388351351,0.656353354,0.997232497,0.996476114,0.371501803
Mushroom_1,0.357849926,0.603728592,0.997826874,0.995640039,0.998203039,0.944662631,0.533367813,0.816330016,0.468217432,0.885729373,0.997764707,0.996886909,0.789100766,0.35102126,0.442171067,0.231776133,0.99760592,0.66852051,0.75574255,0.408317477,0.888467669,0.794278502,0.443927318,0.997505724,0.995640159,0.701968968,0.996234477,0.493385196,0.437190801,0.347223192,0.48942548,0.728694439,0.957340956,0.646817327,0.9840312,0.453978926,0.510187805,0.779205501,0.894227982,0.954851806,0.686260819,0.917979002,0.944097579,0.267779231,0.907623827,0.251756847,0.605158567,0.26611957,0.418004155,0.821111023,0.343525112,0.345989317,0.996466517,0.995721698,0.364692777,0.78373158,0.99815625,0.33417213,0.789712489,0.729155123,0.98037523,0.373723894,0.54924047,0.977541506,0.996319771,0.749563634,0.898852646,0.903292954,0.323926538,0.929042816,0.383476406,0.267685324,0.424187332,0.390511841,0.994025826,0.572111607,0.775655627,0.995330989,0.861887872,0.817415118,0.72707504,0.508959711,0.850675225,0.995872676,0.996914387,0.99715817,0.988378346,0.87741971,0.334572643,0.690334499,0.996309936,0.992099524,0.995731175,0.916516304,0.358674467,0.64138031,0.99737227,0.996672511,0.286551178
FruttiDiMare_1,0.371547192,0.612817287,0.997572005,0.995328665,0.997967064,0.951872528,0.512289345,0.808251381,0.483180225,0.885921597,0.99751991,0.996645391,0.782815099,0.352465868,0.337531,0.270344347,0.997251093,0.644430757,0.777235091,0.449385822,0.882004499,0.81359148,0.553789079,0.997072816,0.995247304,0.724795997,0.99599719,0.292782873,0.47510168,0.438183755,0.523136139,0.723427474,0.96313417,0.536825299,0.984630764,0.512714088,0.491314977,0.764621139,0.89609462,0.9460572,0.644537926,0.899269879,0.934816122,0.287211448,0.916558564,0.306663424,0.691134155,0.371053219,0.486939102,0.82599324,0.474817753,0.272022098,0.99620384,0.995179653,0.305447161,0.77376467,0.998070657,0.397108257,0.779445231,0.72022903,0.976484716,0.39378804,0.642782927,0.977436602,0.996010303,0.752988398,0.888713837,0.872760773,0.347627491,0.923384666,0.314773411,0.249814615,0.351000994,0.421497434,0.993045509,0.623927832,0.786110878,0.99526149,0.860905468,0.795421481,0.7731058,0.44499743,0.869768918,0.995497942,0.996545136,0.997086704,0.987209797,0.857932091,0.322203904,0.653908432,0.995888889,0.991745532,0.995095789,0.903425872,0.351100028,0.634025991,0.997061193,0.996209741,0.479194522
PineKernels_1,0.340992838,0.622552395,0.997897387,0.995804608,0.99816519,0.942739487,0.555363119,0.828867137,0.530260682,0.89769721,0.997816801,0.997052789,0.800611556,0.380037695,0.405555189,0.243673936,0.99766171,0.702490926,0.762419641,0.425372034,0.897265911,0.801838756,0.436343819,0.997548521,0.995812476,0.722796559,0.996528089,0.356103033,0.459872156,0.371158034,0.520707965,0.734465301,0.962596416,0.620697439,0.986470401,0.519861996,0.502118826,0.769520402,0.904233038,0.956519246,0.694007516,0.909756303,0.942827761,0.287305176,0.914011955,0.266097486,0.661553562,0.307475239,0.426349491,0.84413439,0.381859392,0.34944275,0.996662021,0.995821357,0.341962546,0.821627676,0.99828279,0.356269866,0.781081975,0.763126493,0.980097115,0.414896071,0.536833405,0.980099976,0.996467948,0.763908446,0.907535255,0.899983346,0.370395899,0.937654078,0.360968292,0.271466523,0.432121783,0.375761986,0.994110286,0.643266857,0.799103856,0.995720088,0.8704983,0.818097234,0.761539817,0.522643268,0.857970357,0.995926917,0.996957898,0.997404516,0.98860395,0.886499405,0.345505536,0.687725306,0.996395886,0.992862642,0.996019304,0.925173283,0.37111944,0.625633836,0.997488737,0.996817231,0.308331251
UnclosedPizza_1,0.400241375,0.619552255,0.99738735,0.99516207,0.997765422,0.94734627,0.545538843,0.800738037,0.549715161,0.875303745,0.997239232,0.996269226,0.77927959,0.353083521,0.331622958,0.326454669,0.997048438,0.628056407,0.7994712,0.522195816,0.889544666,0.770396888,0.469470292,0.996841908,0.994834304,0.689697623,0.995685339,0.305811256,0.509869635,0.342418492,0.521060467,0.67536974,0.960986316,0.574278355,0.984072745,0.504869521,0.508152544,0.744418383,0.891508281,0.944213152,0.727112114,0.90815866,0.932407379,0.372849166,0.908796906,0.315392584,0.681314588,0.323369652,0.499835432,0.837646604,0.372806221,0.353385299,0.995839596,0.994654655,0.299859524,0.762940049,0.997839153,0.348610699,0.722365677,0.725893617,0.976414561,0.463466793,0.559591234,0.976321697,0.995623052,0.718208313,0.881057739,0.866007805,0.3292678,0.921827793,0.339909017,0.258326203,0.370477557,0.584197819,0.992869198,0.550412297,0.77288568,0.994529307,0.823960006,0.793553293,0.765971422,0.438250512,0.851080716,0.994690597,0.996155918,0.996958494,0.986105263,0.853837907,0.306613237,0.628250301,0.995630503,0.990640819,0.994857907,0.901716292,0.345864534,0.573745728,0.996822596,0.9959566,0.325549573
GoatsCheeseTopping_1,0.330985636,0.640533507,0.997845292,0.995617151,0.998174667,0.949122012,0.500212848,0.807271779,0.483812481,0.897264838,0.997752964,0.997112274,0.785474956,0.368790329,0.373811424,0.231628045,0.997609973,0.680992424,0.743310273,0.451803178,0.868902743,0.806111813,0.469283611,0.997523963,0.995750785,0.729966581,0.996447444,0.313667536,0.449256629,0.354827344,0.514473915,0.787585616,0.964285851,0.552366257,0.985953867,0.519471288,0.443365902,0.770818651,0.903232753,0.950862288,0.654970109,0.905723751,0.938891709,0.288149208,0.918282926,0.258478761,0.648883164,0.292218328,0.447118014,0.83329165,0.411890656,0.281692743,0.996630609,0.995839477,0.31899175,0.836124182,0.998326957,0.355227262,0.824281216,0.742495835,0.978911638,0.376760006,0.565119684,0.979361951,0.996539354,0.722472012,0.899661064,0.899209857,0.404932976,0.933707476,0.3268933,0.256872028,0.356474578,0.370256633,0.994176507,0.662602186,0.768159211,0.995626092,0.863404274,0.81001246,0.778168857,0.470865011,0.840748549,0.996045768,0.996829689,0.9974159,0.987673223,0.882952094,0.321951598,0.669482648,0.99628371,0.992889643,0.99595058,0.910585225,0.392204434,0.590124249,0.997439265,0.996813715,0.338567197
SundriedTomatoTopping_1,0.394196332,0.618233442,0.997960091,0.995978594,0.99835664,0.958379745,0.573940039,0.836197913,0.536945701,0.906134486,0.997881949,0.997124374,0.808683634,0.368958443,0.384522945,0.282811582,0.997784793,0.687607169,0.805882454,0.465424687,0.903510809,0.819573045,0.481025815,0.997620761,0.995937109,0.752794147,0.996631563,0.351848483,0.501597404,0.352681994,0.528531849,0.734759033,0.966981709,0.632050574,0.986481905,0.538594067,0.528532743,0.792326987,0.912045896,0.95716387,0.695967615,0.929849684,0.943895638,0.306348026,0.92758137,0.288461387,0.687151611,0.314603478,0.481642574,0.841908753,0.39026612,0.369850218,0.99677521,0.995945752,0.296593517,0.815392971,0.998333991,0.319296062,0.798613846,0.782141268,0.982584178,0.423668474,0.571841538,0.981413662,0.99657321,0.775829852,0.901046693,0.904274404,0.344918609,0.939570785,0.345989734,0.243039265,0.398426622,0.43666482,0.994293511,0.590367854,0.821182072,0.995847404,0.872425914,0.812793791,0.789328992,0.481510043,0.887620807,0.996070504,0.997057199,0.997482002,0.989050627,0.880670905,0.350649983,0.681948781,0.996496499,0.992889881,0.996125162,0.919948161,0.343034208,0.677589715,0.997562885,0.996921837,0.317830086
